,City,Average Income,Lat,Lon,Obesity %,Avg_High_Temp_F,Avg_Low_Temp_F,Walking Score
0,Atlanta,75563.546875,33.763066486842106,-84.40488958066992,31.640151515151516,73,54,61
1,Austin,78442.65882352942,30.30371396092319,-97.75073686300676,25.993000000000002,81,59,72
2,Baltimore,63393.09154929577,39.31075955552624,-76.6182619240094,39.56218905472637,67,46,95
3,Birmingham,54848.35897435898,33.526924055526,-86.794535152194,40.32934782608696,74,54,32
4,Boston,78451.61111111111,42.325133652995504,-71.08743430834608,25.387428571428572,59,45,82
5,Buffalo,46000.02,42.90937284752099,-78.8492285254716,35.779012345679014,57,41,66
6,Charlotte,70611.48529411765,35.20676687836188,-80.81931398970693,32.8725,72,51,68
7,Chicago,63975.973154362415,41.85938364804156,-87.67776147240188,33.582160804020106,61,44,80
8,Cincinnati,63121.58823529412,39.1395016237475,-84.50989321487833,37.08205128205128,64,45,73
9,Cleveland,40543.7294117647,41.48300337812416,-81.663397427759,42.26610169491526,61,44,21
10,Columbus,51831.31578947369,38.58741422948021,-83.35395118151979,36.42613240418118,63,44,0
11,Dallas,70788.64122137404,32.82321018638536,-96.78119247207913,34.47156862745098,78,58,74
12,Denver,70252.52631578948,39.721511622695175,-104.9586325694,21.028275862068966,66,37,96
13,Detroit,35734.86363636364,42.3851824409594,-83.1045821632953,44.81224489795918,59,42,35
14,Fresno,57396.979166666664,36.7810452763289,-119.78444606861719,30.206349206349206,76,54,42
15,Grand Rapids,63273.56756756757,42.962561205903704,-85.65507926384073,33.479629629629635,58,41,88
16,Hartford,44147.04347826087,41.7653485308,-72.68838441593572,37.43333333333334,61,41,71
17,Honolulu,84613.9512195122,21.365079688924897,-157.89729671229045,23.69237288135593,85,72,17
18,Houston,68098.05676855895,29.77443964156192,-95.42798611686821,34.13014440433213,80,63,68
19,Indianapolis,54372.03571428572,39.79587980989676,-86.14353149544166,36.75277777777778,63,45,54
20,Jacksonville,54390.282352941176,30.76148065761892,-81.20300993871892,33.34347826086957,80,63,0
21,Kansas City,51008.88607594937,39.08439516780256,-94.58997513752607,37.67339449541284,65,45,66
22,Las Vegas,62259.827067669175,36.20352751195886,-115.23019159163925,28.356129032258064,81,60,46
23,Los Angeles,61724.55701754386,34.09209057165582,-118.36847503499801,25.492570281124497,75,57,94
24,Louisville,63276.34,38.204265935745404,-85.70170109734163,34.645054945054945,68,50,17
25,Memphis,44721.117647058825,35.12082093959617,-89.94841576234371,39.29111111111111,73,54,54
26,Miami,60890.25,25.78383558467264,-80.21975599628962,33.48252427184466,84,71,68
27,Milwaukee,50052.50617283951,43.05229185056991,-87.95355492576574,35.874299065420566,57,41,72
28,Minneapolis,71931.6603773585,44.96377801460085,-93.26928432476186,27.33050847457627,55,38,84
29,Nashville,60649.7,36.14189651147912,-86.75533562692722,31.698101265822785,72,50,44
30,New Orleans,51234.30303030303,29.97202598403333,-90.0566709668712,36.49080459770115,79,63,92
31,New York,88873.6275862069,40.716374114408076,-73.91566036143972,25.034450212364323,63,49,74
32,Oklahoma City,50889.22727272727,35.48251464469455,-97.54377811513181,35.06788990825688,71,49,73
33,Orlando,58496.0,28.520282299265855,-81.3670542330939,30.25625,83,65,46
34,Philadelphia,52426.308988764045,40.00187417678042,-75.14695641876685,33.20740740740741,65,47,79
35,Phoenix,57556.79527559055,33.525586087779224,-112.08609619437674,31.29078212290503,87,64,57
36,Pittsburgh,63196.054945054944,40.445990201797805,-79.96891135771679,31.570542635658914,61,43,63
37,Portland,73271.31578947368,45.29721458912717,-116.3753865766288,24.828248587570624,63,46,0
38,Providence,53309.15789473684,41.82257071459756,-71.42353821612194,33.31707317073171,61,43,97
39,Raleigh,70024.51282051283,35.83475153923838,-78.64554587121414,30.413829787234043,72,51,64
40,Richmond,63128.23529411765,37.66760582191818,-91.51008305675556,32.498958333333334,70,48,0
41,Riverside,65108.794871794875,33.937310847796056,-117.40279183963158,28.188888888888886,80,53,61
42,Rochester,62163.385542168675,43.3998979462641,-81.67584765084787,35.97767857142857,58,41,0
43,Sacramento,64649.954545454544,38.556626674899164,-121.46977465627499,30.482905982905983,76,51,85
44,Salt Lake City,78847.57142857143,40.754095405462714,-111.88247837388136,25.957142857142856,65,44,86
45,San Antonio,61195.11851851852,29.474653616236893,-98.52883448508963,34.72492012779553,80,59,71
46,San Diego,84908.77884615384,32.79132294840503,-117.13394210973489,22.15902777777778,71,59,7
47,San Francisco,100856.92207792208,37.76112716812132,-122.43634860678172,18.04670050761421,64,51,99
48,San Jose,100633.87671232877,37.30805908814344,-121.86852192491403,20.42604651162791,71,50,48
49,Seattle,85278.7076923077,47.62796542338162,-122.32976729430884,20.956617647058824,61,46,85
50,St. Louis,55297.4,38.62905316866204,-90.25107437733057,37.172222222222224,67,48,81
51,Tampa,57624.756410256414,27.990499712445615,-82.45496403105176,31.59818181818182,83,66,80
52,Tucson,56039.256410256414,32.20782121964864,-110.90400946552704,28.55211267605634,84,57,66
53,Tulsa,56694.954545454544,36.12207872690588,-95.92755768800735,36.706818181818186,72,51,37
54,Virginia Beach,77764.625,36.82277967086436,-76.09568034051287,28.225742574257428,70,53,39
55,Washington,83814.97802197802,38.90684368270884,-77.00883015472708,26.956666666666667,68,51,92
