City,Lat,Lon,Average Income,Obesity %,Avg_High_Temp_F,Avg_Low_Temp_F,Precipitation_Inches
Atlanta,33.763066486842106,-84.40488958066992,75563.546875,31.640151515151516,73,54,50.4
Austin,30.30371396092319,-97.75073686300676,78442.65882352942,25.993000000000002,81,59,36.3
Baltimore,39.31075955552624,-76.6182619240094,63393.09154929577,39.56218905472637,67,46,45.0
Birmingham,33.526924055526,-86.794535152194,54848.35897435898,40.32934782608696,74,54,56.6
Boston,42.325133652995504,-71.08743430834608,78451.61111111111,25.387428571428572,59,45,43.6
Buffalo,42.90937284752099,-78.8492285254716,46000.02,35.779012345679014,57,41,40.7
Charlotte,35.20676687836188,-80.81931398970693,70611.48529411765,32.8725,72,51,43.6
Chicago,41.85938364804156,-87.67776147240188,63975.973154362415,33.582160804020106,61,44,40.9
Cincinnati,39.1395016237475,-84.50989321487833,63121.58823529412,37.08205128205128,64,45,45.3
Cleveland,41.48300337812416,-81.663397427759,40543.7294117647,42.26610169491526,61,44,41.0
Columbus,38.58741422948021,-83.35395118151979,51831.31578947369,36.42613240418118,63,44,41.6
Dallas,32.82321018638536,-96.78119247207913,70788.64122137404,34.47156862745098,78,58,38.3
Denver,39.721511622695175,-104.9586325694,70252.52631578948,21.028275862068966,66,37,15.4
Detroit,42.3851824409594,-83.1045821632953,35734.86363636364,44.81224489795918,59,42,34.3
Fresno,36.7810452763289,-119.78444606861719,57396.979166666664,30.206349206349206,76,54,11.0
Grand Rapids,42.962561205903704,-85.65507926384073,63273.56756756757,33.479629629629635,58,41,39.4
Hartford,41.7653485308,-72.68838441593572,44147.04347826087,37.43333333333334,61,41,47.1
Honolulu,21.365079688924897,-157.89729671229045,84613.9512195122,23.69237288135593,85,72,16.4
Houston,29.77443964156192,-95.42798611686821,68098.05676855895,34.13014440433213,80,63,55.6
Indianapolis,39.79587980989676,-86.14353149544166,54372.03571428572,36.75277777777778,63,45,43.6
Jacksonville,30.76148065761892,-81.20300993871892,54390.282352941176,33.34347826086957,80,63,47.6
Kansas City,39.08439516780256,-94.58997513752607,51008.88607594937,37.67339449541284,65,45,39.3
Las Vegas,36.20352751195886,-115.23019159163925,62259.827067669175,28.356129032258064,81,60,4.2
Los Angeles,34.09209057165582,-118.36847503499801,61724.55701754386,25.492570281124497,75,57,14.3
Louisville,38.204265935745404,-85.70170109734163,63276.34,34.645054945054945,68,50,48.3
Memphis,35.12082093959617,-89.94841576234371,44721.117647058825,39.29111111111111,73,54,54.9
Miami,25.78383558467264,-80.21975599628962,60890.25,33.48252427184466,84,71,67.4
Milwaukee,43.05229185056991,-87.95355492576574,50052.50617283951,35.874299065420566,57,41,34.6
Minneapolis,44.96377801460085,-93.26928432476186,71931.6603773585,27.33050847457627,55,38,31.6
Nashville,36.14189651147912,-86.75533562692722,60649.7,31.698101265822785,72,50,50.5
New Orleans,29.97202598403333,-90.0566709668712,51234.30303030303,36.49080459770115,79,63,63.4
New York,40.716374114408076,-73.91566036143972,88873.6275862069,25.034450212364323,63,49,49.5
Oklahoma City,35.48251464469455,-97.54377811513181,50889.22727272727,35.06788990825688,71,49,36.4
Orlando,28.520282299265855,-81.3670542330939,58496.0,30.25625,83,65,51.5
Philadelphia,40.00187417678042,-75.14695641876685,52426.308988764045,33.20740740740741,65,47,44.1
Phoenix,33.525586087779224,-112.08609619437674,57556.79527559055,31.29078212290503,87,64,7.2
Pittsburgh,40.445990201797805,-79.96891135771679,63196.054945054944,31.570542635658914,61,43,39.6
Portland,45.29721458912717,-116.3753865766288,73271.31578947368,24.828248587570624,63,46,43.7
Providence,41.82257071459756,-71.42353821612194,53309.15789473684,33.31707317073171,61,43,47.5
Raleigh,35.83475153923838,-78.64554587121414,70024.51282051283,30.413829787234043,72,51,46.1
Richmond,37.66760582191818,-91.51008305675556,63128.23529411765,32.498958333333334,70,48,45.5
Riverside,33.937310847796056,-117.40279183963158,65108.794871794875,28.188888888888886,80,53,9.4
Rochester,43.3998979462641,-81.67584765084787,62163.385542168675,35.97767857142857,58,41,35.1
Sacramento,38.556626674899164,-121.46977465627499,64649.954545454544,30.482905982905983,76,51,19.2
Salt Lake City,40.754095405462714,-111.88247837388136,78847.57142857143,25.957142857142856,65,44,15.5
San Antonio,29.474653616236893,-98.52883448508963,61195.11851851852,34.72492012779553,80,59,32.4
San Diego,32.79132294840503,-117.13394210973489,84908.77884615384,22.15902777777778,71,59,9.8
San Francisco,37.76112716812132,-122.43634860678172,100856.92207792208,18.04670050761421,64,51,22.9
San Jose,37.30805908814344,-121.86852192491403,100633.87671232877,20.42604651162791,71,50,13.5
Seattle,47.62796542338162,-122.32976729430884,85278.7076923077,20.956617647058824,61,46,39.3
St. Louis,38.62905316866204,-90.25107437733057,55297.4,37.172222222222224,67,48,41.7
Tampa,27.990499712445615,-82.45496403105176,57624.756410256414,31.59818181818182,83,66,49.5
Tucson,32.20782121964864,-110.90400946552704,56039.256410256414,28.55211267605634,84,57,10.6
Tulsa,36.12207872690588,-95.92755768800735,56694.954545454544,36.706818181818186,72,51,41.0
Virginia Beach,36.82277967086436,-76.09568034051287,77764.625,28.225742574257428,70,53,49.2
Washington,38.90684368270884,-77.00883015472708,83814.97802197802,26.956666666666667,68,51,41.8
