City_State,Precipitation_Inches
"Atlanta, Georgia",50.4
"Austin, Texas",36.3
"Baltimore, Maryland",45
"Birmingham, Alabama",56.6
"Boston, Massachusetts",43.6
"Buffalo, New York",40.7
"Charlotte, North Carolina",43.6
"Chicago, Illinois",40.9
"Cincinnati, Ohio",45.3
"Cleveland, Ohio",41
"Columbus, Ohio",41.6
"Dallas, Texas",38.3
"Denver, Colorado",15.4
"Detroit, Michigan",34.3
"Fresno, California",11
"Grand Rapids, Michigan",39.4
"Hartford, Connecticut",47.1
"Honolulu, Hawaii",16.4
"Houston, Texas",55.6
"Indianapolis, Indiana",43.6
"Jacksonville, Florida",47.6
"Kansas City, Missouri",39.3
"Las Vegas, Nevada",4.2
"Los Angeles, California",14.3
"Louisville, Kentucky",48.3
"Memphis, Tennessee",54.9
"Miami, Florida",67.4
"Milwaukee, Wisconsin",34.6
"Minneapolis, Minnesota",31.6
"Nashville, Tennessee",50.5
"New Orleans, Louisiana",63.4
"New York, New York",49.5
"Oklahoma City, Oklahoma",36.4
"Orlando, Florida",51.5
"Philadelphia, Pennsylvania",44.1
"Phoenix, Arizona",7.2
"Pittsburgh, Pennsylvania",39.6
"Portland, Oregon",43.7
"Providence, Rhode Island",47.5
"Raleigh, North Carolina",46.1
"Richmond, Virginia",45.5
"Riverside, California",9.4
"Rochester, New York",35.1
"Sacramento, California",19.2
"Salt Lake City, Utah",15.5
"San Antonio, Texas",32.4
"San Diego, California",9.8
"San Francisco, California",22.9
"San Jose, California",13.5
"Seattle, Washington",39.3
"St. Louis, Missouri",41.7
"Tampa, Florida",49.5
"Tucson, Arizona",10.6
"Tulsa, Oklahoma",41
"Virginia Beach, Virginia",49.2
"Washington, DC",41.8
